"Region, country, or economy",Region,Income level,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
World,na,na,"1,236,106.00","1,345,967.00","1,508,837.00","1,599,532.00","1,668,894.00","1,762,986.00","1,862,709.00","1,950,178.00","2,045,351.00","2,105,157.00","2,168,061.00","2,245,240.00","2,302,230.00","2,386,418.00","2,467,960.00","2,613,116.00","2,811,110.00","2,955,562.00","3,240,279.00","3,344,037.00"
North America,na,na,"381,929.70","410,291.98","446,567.20","454,297.40","457,888.11","463,422.84","470,528.11","481,763.75","496,316.70","502,553.70","505,326.27","509,462.75","512,899.51","514,088.62","518,223.46","528,026.51","535,046.92","543,311.07","563,921.68","547,444.77"
Canada,North America,High,"38,722.16","42,633.37","47,844.97","50,605.96","51,979.50","53,779.61","55,876.68","56,793.27","57,715.63","59,761.57","60,074.83","60,858.96","61,391.62","61,324.12","61,601.66","63,648.46","64,546.67","65,331.55","69,684.17","69,051.87"
Greenland,North America,High,11.81,28.53,15.56,14.22,15.91,15.94,11.79,21.35,17.55,25.44,31.57,23.84,29.22,23.80,25.88,31.51,28.41,29.34,35.19,30.55
Mexico,North America,Upper-middle,"6,705.18","7,301.35","8,304.10","9,437.14","9,586.60","10,353.88","10,632.10","11,244.42","11,751.80","12,602.76","13,186.80","14,167.62","14,570.29","15,194.65","16,177.94","17,182.13","18,991.67","20,363.28","21,753.88","21,027.10"
United States,North America,High,"336,490.55","360,328.73","390,402.56","394,240.08","396,306.10","399,273.41","404,007.54","413,704.71","426,831.73","430,163.93","432,033.06","434,412.33","436,908.38","437,546.04","440,417.99","447,164.41","451,480.17","457,586.90","472,448.44","457,335.25"
Puerto Rico,North America,High,544.78,515.31,568.93,702.95,680.45,694.03,651.56,714.70,626.03,629.06,581.84,607.11,587.27,608.88,578.41,563.96,573.61,587.91,569.71,569.66
Central America and Caribbean,na,na,"1,417.26","1,544.08","1,772.48","2,027.01","1,984.95","2,133.44","2,434.27","2,314.40","2,576.49","2,713.79","2,704.96","2,824.15","2,559.85","2,522.31","2,689.41","2,820.92","2,940.43","3,396.88","3,735.36","3,503.82"
Antigua and Barbuda,Central America and Caribbean,High,1.83,0.67,1.79,1.58,5.25,5.29,3.78,2.19,0.85,2.08,2.72,1.70,3.30,4.34,5.45,4.64,6.32,6.56,7.43,7.02
"Bahamas, The",Central America and Caribbean,High,3.66,3.03,7.37,6.12,11.14,6.05,9.83,9.20,10.78,8.01,18.89,15.89,12.77,13.91,20.78,20.64,19.00,21.42,22.14,17.75
Barbados,Central America and Caribbean,High,46.11,54.09,37.07,49.71,49.79,46.14,37.63,30.06,35.82,48.49,41.83,45.47,55.17,54.32,50.16,48.22,53.74,61.93,55.51,72.38
Belize,Central America and Caribbean,Upper-middle,4.76,4.92,5.83,4.83,2.23,3.64,8.51,10.82,2.26,8.30,7.75,5.16,7.64,5.88,11.55,9.74,10.21,17.62,12.52,17.74
Costa Rica,Central America and Caribbean,Upper-middle,154.49,219.26,219.47,226.80,232.82,246.75,250.87,272.47,266.45,311.70,275.45,365.39,363.09,425.50,483.69,542.38,631.94,702.29,753.03,711.36
Cuba,Central America and Caribbean,Upper-middle,793.22,789.67,967.02,"1,224.99","1,096.51","1,163.54","1,419.43","1,293.77","1,520.70","1,526.64","1,570.27","1,471.66","1,342.36","1,158.34","1,134.65","1,167.92","1,115.94","1,366.16","1,532.31","1,237.50"
Dominica,Central America and Caribbean,Upper-middle,4.58,2.16,5.27,4.19,3.94,5.22,4.22,8.78,6.94,11.84,12.08,9.21,10.28,10.80,12.00,11.83,5.15,5.46,6.91,5.17
