INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER
EXPGDP.TOT,AGO,2016,0.03229,,
EXPGDP.TOT,ALB,2007,0.08757,,
EXPGDP.TOT,ALB,2008,0.15412,,
EXPGDP.TOT,ARE,2011,0.47252,,
EXPGDP.TOT,ARE,2014,0.67523,,
EXPGDP.TOT,ARE,2015,0.86570,,
EXPGDP.TOT,ARE,2016,0.93180,,
EXPGDP.TOT,ARE,2018,1.26389,,
EXPGDP.TOT,ARE,2019,1.31065,,
EXPGDP.TOT,ARE,2020,1.48831,,
EXPGDP.TOT,ARE,2021,1.49469,,
EXPGDP.TOT,ARG,1996,0.41749,,
EXPGDP.TOT,ARG,1997,0.41959,,
EXPGDP.TOT,ARG,1998,0.41131,,
EXPGDP.TOT,ARG,1999,0.45337,,
EXPGDP.TOT,ARG,2000,0.43884,,
EXPGDP.TOT,ARG,2001,0.42461,,
EXPGDP.TOT,ARG,2002,0.38886,,
EXPGDP.TOT,ARG,2003,0.41013,,
EXPGDP.TOT,ARG,2004,0.40376,,
EXPGDP.TOT,ARG,2005,0.42074,,
EXPGDP.TOT,ARG,2006,0.45216,,
EXPGDP.TOT,ARG,2007,0.46007,,
EXPGDP.TOT,ARG,2008,0.47055,,
EXPGDP.TOT,ARG,2009,0.58398,,
EXPGDP.TOT,ARG,2010,0.56104,,
EXPGDP.TOT,ARG,2011,0.56597,,
EXPGDP.TOT,ARG,2012,0.63491,,
EXPGDP.TOT,ARG,2013,0.61849,,
EXPGDP.TOT,ARG,2014,0.59396,,
EXPGDP.TOT,ARG,2015,0.62262,,
EXPGDP.TOT,ARG,2016,0.55815,,
EXPGDP.TOT,ARG,2017,0.55631,,
EXPGDP.TOT,ARG,2018,0.48830,,
EXPGDP.TOT,ARG,2019,0.47813,,
EXPGDP.TOT,ARG,2020,0.54126,,
EXPGDP.TOT,ARG,2021,0.51692,,
EXPGDP.TOT,ARM,1997,0.18692,,
EXPGDP.TOT,ARM,1998,0.22601,,
EXPGDP.TOT,ARM,1999,0.21400,,
EXPGDP.TOT,ARM,2000,0.19106,,
EXPGDP.TOT,ARM,2001,0.27987,,
EXPGDP.TOT,ARM,2002,0.25255,,
EXPGDP.TOT,ARM,2003,0.32109,,
EXPGDP.TOT,ARM,2004,0.25659,,
EXPGDP.TOT,ARM,2005,0.25761,,
EXPGDP.TOT,ARM,2006,0.24057,,
EXPGDP.TOT,ARM,2007,0.21107,,
EXPGDP.TOT,ARM,2008,0.22438,,
EXPGDP.TOT,ARM,2009,0.29093,,
EXPGDP.TOT,ARM,2010,0.24139,,
EXPGDP.TOT,ARM,2011,0.27014,,
EXPGDP.TOT,ARM,2012,0.23853,,
EXPGDP.TOT,ARM,2013,0.22216,,
EXPGDP.TOT,ARM,2014,0.24151,,
EXPGDP.TOT,ARM,2015,0.25002,,
EXPGDP.TOT,ARM,2016,0.23305,,
EXPGDP.TOT,ARM,2017,0.22788,,
EXPGDP.TOT,ARM,2018,0.18876,,
EXPGDP.TOT,ARM,2019,0.17854,,
EXPGDP.TOT,ARM,2020,0.20920,,
EXPGDP.TOT,ARM,2021,0.20557,,
EXPGDP.TOT,ARM,2022,0.20955,,
EXPGDP.TOT,ASM,2003,0.18787,,
EXPGDP.TOT,ASM,2004,0.32528,,
EXPGDP.TOT,ASM,2005,0.36692,,
EXPGDP.TOT,ASM,2006,0.39552,,
EXPGDP.TOT,AUS,1996,1.66218,,
EXPGDP.TOT,AUS,1998,1.51351,,
EXPGDP.TOT,AUS,2000,1.57198,,
EXPGDP.TOT,AUS,2002,1.74654,,
EXPGDP.TOT,AUS,2004,1.84802,,
EXPGDP.TOT,AUS,2006,2.17862,,
EXPGDP.TOT,AUS,2008,2.39898,,
EXPGDP.TOT,AUS,2010,2.37009,,
EXPGDP.TOT,AUS,2011,2.23445,,
EXPGDP.TOT,AUS,2013,2.17709,,
EXPGDP.TOT,AUS,2015,1.91902,,
EXPGDP.TOT,AUS,2017,1.87919,,
EXPGDP.TOT,AUS,2019,1.82570,,
EXPGDP.TOT,AUS,2021,1.85509,,
EXPGDP.TOT,AUT,1996,1.58077,,
EXPGDP.TOT,AUT,1997,1.65491,,
EXPGDP.TOT,AUT,1998,1.73155,,
EXPGDP.TOT,AUT,1999,1.84537,,
EXPGDP.TOT,AUT,2000,1.88602,,
EXPGDP.TOT,AUT,2001,1.99210,,
EXPGDP.TOT,AUT,2002,2.06598,,
EXPGDP.TOT,AUT,2003,2.17456,,
EXPGDP.TOT,AUT,2004,2.16612,,
EXPGDP.TOT,AUT,2005,2.37324,,
EXPGDP.TOT,AUT,2006,2.35923,,
EXPGDP.TOT,AUT,2007,2.41843,,
EXPGDP.TOT,AUT,2008,2.56945,,
EXPGDP.TOT,AUT,2009,2.59674,,
EXPGDP.TOT,AUT,2010,2.72610,,
EXPGDP.TOT,AUT,2011,2.66868,,
EXPGDP.TOT,AUT,2012,2.91472,,
EXPGDP.TOT,AUT,2013,2.95492,,
EXPGDP.TOT,AUT,2014,3.08429,,
EXPGDP.TOT,AUT,2015,3.04969,,
EXPGDP.TOT,AUT,2016,3.11655,,
EXPGDP.TOT,AUT,2017,3.05656,,
EXPGDP.TOT,AUT,2018,3.09182,,
EXPGDP.TOT,AUT,2019,3.13265,,
EXPGDP.TOT,AUT,2020,3.20278,,
EXPGDP.TOT,AUT,2021,3.26361,,
EXPGDP.TOT,AUT,2022,3.20048,,
EXPGDP.TOT,AZE,1996,0.23533,,
EXPGDP.TOT,AZE,1997,0.36950,,
EXPGDP.TOT,AZE,1998,0.42125,,
EXPGDP.TOT,AZE,1999,0.39289,,
EXPGDP.TOT,AZE,2000,0.33600,,
EXPGDP.TOT,AZE,2001,0.34001,,
EXPGDP.TOT,AZE,2002,0.30155,,
EXPGDP.TOT,AZE,2003,0.32496,,
EXPGDP.TOT,AZE,2004,0.29831,,
EXPGDP.TOT,AZE,2005,0.21994,,
EXPGDP.TOT,AZE,2006,0.17165,,
EXPGDP.TOT,AZE,2007,0.17006,,
EXPGDP.TOT,AZE,2008,0.16554,,
EXPGDP.TOT,AZE,2009,0.24976,,
EXPGDP.TOT,AZE,2010,0.21848,,
EXPGDP.TOT,AZE,2011,0.21084,,
EXPGDP.TOT,AZE,2012,0.21427,,
EXPGDP.TOT,AZE,2013,0.20969,,
EXPGDP.TOT,AZE,2014,0.20978,,
EXPGDP.TOT,AZE,2015,0.22232,,
EXPGDP.TOT,AZE,2016,0.20637,,
EXPGDP.TOT,AZE,2017,0.18468,,
EXPGDP.TOT,AZE,2018,0.18416,,
EXPGDP.TOT,AZE,2019,0.20013,,
EXPGDP.TOT,AZE,2020,0.22390,,
EXPGDP.TOT,AZE,2021,0.20836,,
EXPGDP.TOT,AZE,2022,0.15130,,
EXPGDP.TOT,BDI,2007,0.20068,,
EXPGDP.TOT,BDI,2008,0.15417,,
EXPGDP.TOT,BDI,2009,0.14096,,
EXPGDP.TOT,BDI,2010,0.13719,,
EXPGDP.TOT,BDI,2012,0.10702,,
EXPGDP.TOT,BDI,2018,0.21312,,
EXPGDP.TOT,BEL,1996,1.74299,,
EXPGDP.TOT,BEL,1997,1.80971,,
EXPGDP.TOT,BEL,1998,1.83825,,
EXPGDP.TOT,BEL,1999,1.90565,,
EXPGDP.TOT,BEL,2000,1.93620,,
EXPGDP.TOT,BEL,2001,2.03279,,
EXPGDP.TOT,BEL,2002,1.90325,,
EXPGDP.TOT,BEL,2003,1.84119,,
EXPGDP.TOT,BEL,2004,1.82050,,
EXPGDP.TOT,BEL,2005,1.79061,,
EXPGDP.TOT,BEL,2006,1.82269,,
EXPGDP.TOT,BEL,2007,1.84999,,
EXPGDP.TOT,BEL,2008,1.93684,,
EXPGDP.TOT,BEL,2009,1.99860,,
EXPGDP.TOT,BEL,2010,2.06188,,
EXPGDP.TOT,BEL,2011,2.17332,,
EXPGDP.TOT,BEL,2012,2.28114,,
EXPGDP.TOT,BEL,2013,2.33073,,
EXPGDP.TOT,BEL,2014,2.37002,,
EXPGDP.TOT,BEL,2015,2.42817,,
EXPGDP.TOT,BEL,2016,2.52338,,
EXPGDP.TOT,BEL,2017,2.66666,,
EXPGDP.TOT,BEL,2018,2.86018,,
EXPGDP.TOT,BEL,2019,3.15660,,
EXPGDP.TOT,BEL,2020,3.39175,,
EXPGDP.TOT,BEL,2021,3.39239,,
EXPGDP.TOT,BEL,2022,3.40544,,
EXPGDP.TOT,BFA,1996,0.15834,,
EXPGDP.TOT,BFA,1997,0.18104,,
EXPGDP.TOT,BFA,2001,0.16816,,
EXPGDP.TOT,BFA,2002,0.30111,,
EXPGDP.TOT,BFA,2003,0.24112,,
EXPGDP.TOT,BFA,2004,0.21514,,
EXPGDP.TOT,BFA,2005,0.15166,,
EXPGDP.TOT,BFA,2007,0.09836,,
EXPGDP.TOT,BFA,2008,0.16568,,
EXPGDP.TOT,BFA,2009,0.17787,,
EXPGDP.TOT,BFA,2014,0.19719,,
EXPGDP.TOT,BFA,2017,0.61361,,
EXPGDP.TOT,BFA,2019,0.17435,,
EXPGDP.TOT,BFA,2020,0.25116,,
EXPGDP.TOT,BFA,2021,0.25126,,
EXPGDP.TOT,BGR,1996,0.41826,,
EXPGDP.TOT,BGR,1997,0.46548,,
EXPGDP.TOT,BGR,1998,0.48223,,
EXPGDP.TOT,BGR,1999,0.53688,,
EXPGDP.TOT,BGR,2000,0.49517,,
EXPGDP.TOT,BGR,2001,0.44709,,
EXPGDP.TOT,BGR,2002,0.46473,,
EXPGDP.TOT,BGR,2003,0.47222,,
EXPGDP.TOT,BGR,2004,0.47086,,
EXPGDP.TOT,BGR,2005,0.44269,,
EXPGDP.TOT,BGR,2006,0.44216,,
EXPGDP.TOT,BGR,2007,0.43003,,
EXPGDP.TOT,BGR,2008,0.44731,,
EXPGDP.TOT,BGR,2009,0.49338,,
EXPGDP.TOT,BGR,2010,0.56299,,
EXPGDP.TOT,BGR,2011,0.52950,,
